DiseaseID,DiseaseName,DiseaseDescription,SlimMapping,PathwayNames
MESH:D009784,Occupational Diseases,Diseases caused by factors involved in one's employment.,['Occupational disease'],Xenobiotics
MESH:D009798,Ocular Hypertension,A condition in which the intraocular pressure is elevated above normal and which may lead to glaucoma.,['Eye disease'],Unfolded Protein Response (UPR)
MESH:D000857,Olfaction Disorders,Impaired ability to smell. This may be caused by OLFACTORY NERVE DISEASES; PARANASAL SINUS DISEASES; viral RESPIRATORY TRACT INFECTIONS; CRANIOCEREBRAL TRAUMA; SMOKING; and other conditions.,"['Nervous system disease', 'Signs and symptoms']",Vesicle-mediated transport
MESH:D009837,Oligodendroglioma,"A relatively slow-growing glioma that is derived from oligodendrocytes and tends to occur in the cerebral hemispheres, thalamus, or lateral ventricle. They may present at any age, but are most frequent in the third to fifth decades, with an earlier incidence peak in the first decade. Histologically, these tumors are encapsulated, relatively avascular, and tend to form cysts and microcalcifications. Neoplastic cells tend to have small round nuclei surrounded by unstained nuclei. The tumors may vary from well-differentiated to highly anaplastic forms. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, p2052; Adams et al., Principles of Neurology, 6th ed, p655)",['Cancer'],VEGFR2 mediated cell proliferation
MESH:D009839,Oligomenorrhea,Abnormally infrequent menstruation.,['Pathology (process)'],Steroid hormone biosynthesis
MESH:D009845,Oligospermia,"A condition of suboptimal concentration of SPERMATOZOA in the ejaculated SEMEN to ensure successful FERTILIZATION of an OVUM. In humans, oligospermia is defined as a sperm count below 20 million per milliliter semen.",['Urogenital disease (male)'],VEGF signaling pathway
MESH:D009846,Oliguria,Decreased URINE output that is below the normal range. Oliguria can be defined as urine output of less than or equal to 0.5 or 1 ml/kg/hr depending on the age.,"['Signs and symptoms', 'Urogenital disease (female)', 'Urogenital disease (male)']",Vesicle-mediated transport
MESH:D009886,Ophthalmoplegia,"Paralysis of one or more of the ocular muscles due to disorders of the eye muscles, neuromuscular junction, supporting soft tissue, tendons, or innervation to the muscles.","['Eye disease', 'Nervous system disease', 'Signs and symptoms']",Metabolism of lipids and lipoproteins
MESH:D017246,"Ophthalmoplegia, Chronic Progressive External","A mitochondrial myopathy characterized by slowly progressive paralysis of the levator palpebrae, orbicularis oculi, and extraocular muscles. Ragged-red fibers and atrophy are found on muscle biopsy. Familial and sporadic forms may occur. Disease onset is usually in the first or second decade of life, and the illness slowly progresses until usually all ocular motility is lost. (From Adams et al., Principles of Neurology, 6th ed, p1422)","['Eye disease', 'Metabolic disease', 'Musculoskeletal disease', 'Nervous system disease', 'Pathology (process)', 'Signs and symptoms']",Type I diabetes mellitus
MESH:D009293,Opioid-Related Disorders,Disorders related to or resulting from abuse or misuse of OPIOIDS.,"['Mental disorder', 'Substance-related disorder']",Terminal pathway of complement
MESH:D053578,Opsoclonus-Myoclonus Syndrome,"A neurological condition that is characterized by uncontrolled rapid irregular movements of the eye (OPSOCLONUS) and the muscle (MYOCLONUS) causing unsteady, trembling gait. It is also known as dancing eyes-dancing feet syndrome and is often associated with neoplasms, viral infections, or autoimmune disorders involving the nervous system.","['Cancer', 'Eye disease', 'Nervous system disease']",Signal Transduction
MESH:D009896,Optic Atrophy,"Atrophy of the optic disk which may be congenital or acquired. This condition indicates a deficiency in the number of nerve fibers which arise in the RETINA and converge to form the OPTIC DISK; OPTIC NERVE; OPTIC CHIASM; and optic tracts. GLAUCOMA; ISCHEMIA; inflammation, a chronic elevation of intracranial pressure, toxins, optic nerve compression, and inherited conditions (see OPTIC ATROPHIES, HEREDITARY) are relatively common causes of this condition.","['Eye disease', 'Nervous system disease']",Transport of the SLBP Dependant Mature mRNA
MESH:D029241,"Optic Atrophy, Autosomal Dominant","Dominant optic atrophy is a hereditary optic neuropathy causing decreased visual acuity, color vision deficits, a centrocecal scotoma, and optic nerve pallor (Hum. Genet. 1998; 102: 79-86). Mutations leading to this condition have been mapped to the OPA1 gene at chromosome 3q28-q29. OPA1 codes for a dynamin-related GTPase that localizes to mitochondria.","['Eye disease', 'Genetic disease (inborn)', 'Metabolic disease', 'Nervous system disease']",Regulation of Apoptosis
MESH:D029242,"Optic Atrophy, Hereditary, Leber","A maternally linked genetic disorder that presents in mid-life as acute or subacute central vision loss leading to central scotoma and blindness. The disease has been associated with missense mutations in the mtDNA, in genes for Complex I, III, and IV polypeptides, that can act autonomously or in association with each other to cause the disease. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim/, MIM#535000 (April 17, 2001))","['Eye disease', 'Genetic disease (inborn)', 'Metabolic disease', 'Nervous system disease']",Vitamin digestion and absorption
MESH:D009901,Optic Nerve Diseases,"Conditions which produce injury or dysfunction of the second cranial or optic nerve, which is generally considered a component of the central nervous system. Damage to optic nerve fibers may occur at or near their origin in the retina, at the optic disk, or in the nerve, optic chiasm, optic tract, or lateral geniculate nuclei. Clinical manifestations may include decreased visual acuity and contrast sensitivity, impaired color vision, and an afferent pupillary defect.","['Eye disease', 'Nervous system disease']","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
MESH:D009902,Optic Neuritis,"Inflammation of the optic nerve. Commonly associated conditions include autoimmune disorders such as MULTIPLE SCLEROSIS, infections, and granulomatous diseases. Clinical features include retro-orbital pain that is aggravated by eye movement, loss of color vision, and contrast sensitivity that may progress to severe visual loss, an afferent pupillary defect (Marcus-Gunn pupil), and in some instances optic disc hyperemia and swelling. Inflammation may occur in the portion of the nerve within the globe (neuropapillitis or anterior optic neuritis) or the portion behind the globe (retrobulbar neuritis or posterior optic neuritis).","['Eye disease', 'Nervous system disease']",Protein processing in endoplasmic reticulum
MESH:D018917,"Optic Neuropathy, Ischemic","Ischemic injury to the OPTIC NERVE which usually affects the OPTIC DISK (optic neuropathy, anterior ischemic) and less frequently the retrobulbar portion of the nerve (optic neuropathy, posterior ischemic). The injury results from occlusion of arterial blood supply which may result from TEMPORAL ARTERITIS; ATHEROSCLEROSIS; COLLAGEN DISEASES; EMBOLISM; DIABETES MELLITUS; and other conditions. The disease primarily occurs in the sixth decade or later and presents with the sudden onset of painless and usually severe monocular visual loss. Anterior ischemic optic neuropathy also features optic disk edema with microhemorrhages. The optic disk appears normal in posterior ischemic optic neuropathy. (Glaser, Neuro-Ophthalmology, 2nd ed, p135)","['Cardiovascular disease', 'Eye disease', 'Nervous system disease']",Tuberculosis
MESH:D019226,Oral Ulcer,"A loss of mucous substance of the mouth showing local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue. It is the result of a variety of causes, e.g., denture irritation, aphthous stomatitis (STOMATITIS, APHTHOUS); NOMA; necrotizing gingivitis (GINGIVITIS, NECROTIZING ULCERATIVE); TOOTHBRUSHING; and various irritants. (From Jablonski, Dictionary of Dentistry, 1992, p842)",['Mouth disease'],Transcriptional regulation of white adipocyte differentiation
MESH:D020163,Ornithine Carbamoyltransferase Deficiency Disease,"An inherited urea cycle disorder associated with deficiency of the enzyme ORNITHINE CARBAMOYLTRANSFERASE, transmitted as an X-linked trait and featuring elevations of amino acids and ammonia in the serum. Clinical features, which are more prominent in males, include seizures, behavioral alterations, episodic vomiting, lethargy, and coma. (Menkes, Textbook of Child Neurology, 5th ed, pp49-50)","['Genetic disease (inborn)', 'Metabolic disease', 'Nervous system disease']",Urea cycle
MESH:D009976,Orthomyxoviridae Infections,Virus diseases caused by the ORTHOMYXOVIRIDAE.,['Viral disease'],Vitamin D (calciferol) metabolism
MESH:D054971,Orthostatic Intolerance,"Symptoms of cerebral hypoperfusion or autonomic overaction which develop while the subject is standing, but are relieved on recumbency. Types of this include NEUROCARDIOGENIC SYNCOPE; POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME; and neurogenic ORTHOSTATIC HYPOTENSION. (From Noseworthy, JH., Neurological Therapeutics Principles and Practice, 2007, p2575-2576)","['Nervous system disease', 'Signs and symptoms']","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"
MESH:D009999,"Ossification, Heterotopic",The development of bony substance in normally soft structures.,['Pathology (process)'],Vibrio cholerae infection
MESH:D010001,Osteitis Deformans,"A disease marked by repeated episodes of increased bone resorption followed by excessive attempts at repair, resulting in weakened, deformed bones of increased mass. The resultant architecture of the bone assumes a mosaic pattern in which the fibers take on a haphazard pattern instead of the normal parallel symmetry.",['Musculoskeletal disease'],Vpr-mediated nuclear import of PICs
MESH:D010003,Osteoarthritis,"A progressive, degenerative joint disease, the most common form of arthritis, especially in older persons. The disease is thought to result not from the aging process but from biochemical changes and biomechanical stresses affecting articular cartilage. In the foreign literature it is often called osteoarthrosis deformans.",['Musculoskeletal disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D015207,"Osteoarthritis, Hip","Noninflammatory degenerative disease of the hip joint which usually appears in late middle or old age. It is characterized by growth or maturational disturbances in the femoral neck and head, as well as acetabular dysplasia. A dominant symptom is pain on weight-bearing or motion.",['Musculoskeletal disease'],YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D020370,"Osteoarthritis, Knee","Noninflammatory degenerative disease of the knee joint consisting of three large categories: conditions that block normal synchronous movement, conditions that produce abnormal pathways of motion, and conditions that cause stress concentration resulting in changes to articular cartilage. (Crenshaw, Campbell's Operative Orthopaedics, 8th ed, p2019)",['Musculoskeletal disease'],Ubiquitin mediated proteolysis
MESH:D055013,"Osteoarthritis, Spine","A degenerative joint disease involving the SPINE. It is characterized by progressive deterioration of the spinal articular cartilage (CARTILAGE, ARTICULAR), usually with hardening of the subchondral bone and outgrowth of bone spurs (OSTEOPHYTE).",['Musculoskeletal disease'],Viral carcinogenesis
MESH:D010009,Osteochondrodysplasias,Abnormal development of cartilage and bone.,"['Genetic disease (inborn)', 'Musculoskeletal disease']",Visual phototransduction
MESH:D010014,Osteolysis,Dissolution of bone that particularly involves the removal or loss of calcium.,['Musculoskeletal disease'],Uptake and function of anthrax toxins
MESH:D010020,Osteonecrosis,"Death of a bone or part of a bone, either atraumatic or posttraumatic.","['Musculoskeletal disease', 'Pathology (process)']",Signaling by Interleukins
MESH:D010022,Osteopetrosis,"Excessive formation of dense trabecular bone leading to pathological fractures; OSTEITIS; SPLENOMEGALY with infarct; ANEMIA; and extramedullary hemopoiesis (HEMATOPOIESIS, EXTRAMEDULLARY).",['Musculoskeletal disease'],Transmembrane transport of small molecules
MESH:D010024,Osteoporosis,"Reduction of bone mass without alteration in the composition of bone, leading to fractures. Primary osteoporosis can be of two major types: postmenopausal osteoporosis (OSTEOPOROSIS, POSTMENOPAUSAL) and age-related or senile osteoporosis.","['Metabolic disease', 'Musculoskeletal disease']",XBP1(S) activates chaperone genes
MESH:D015663,"Osteoporosis, Postmenopausal","Metabolic disorder associated with fractures of the femoral neck, vertebrae, and distal forearm. It occurs commonly in women within 15-20 years after menopause, and is caused by factors associated with menopause including estrogen deficiency.","['Metabolic disease', 'Musculoskeletal disease']",UCH proteinases
MESH:D012516,Osteosarcoma,"A sarcoma originating in bone-forming cells, affecting the ends of long bones. It is the most common and most malignant of sarcomas of the bones, and occurs chiefly among 10- to 25-year-old youths. (From Stedman, 25th ed)",['Cancer'],YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D010026,Osteosclerosis,An abnormal hardening or increased density of bone tissue.,['Musculoskeletal disease'],Protein folding
MESH:D010048,Ovarian Cysts,General term for CYSTS and cystic diseases of the OVARY.,"['Cancer', 'Endocrine system disease', 'Urogenital disease (female)']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D010049,Ovarian Diseases,Pathological processes of the OVARY.,"['Endocrine system disease', 'Urogenital disease (female)']",Transport to the Golgi and subsequent modification
MESH:D016471,Ovarian Hyperstimulation Syndrome,"A complication of OVULATION INDUCTION in infertility treatment. It is graded by the severity of symptoms which include OVARY enlargement, multiple OVARIAN FOLLICLES; OVARIAN CYSTS; ASCITES; and generalized EDEMA. The full-blown syndrome may lead to RENAL FAILURE, respiratory distress, and even DEATH. Increased capillary permeability is caused by the vasoactive substances, such as VASCULAR ENDOTHELIAL GROWTH FACTORS, secreted by the overly-stimulated OVARIES.","['Endocrine system disease', 'Urogenital disease (female)']",Signal Transduction
MESH:D010051,Ovarian Neoplasms,"Tumors or cancer of the OVARY. These neoplasms can be benign or malignant. They are classified according to the tissue of origin, such as the surface EPITHELIUM, the stromal endocrine cells, and the totipotent GERM CELLS.","['Cancer', 'Endocrine system disease', 'Urogenital disease (female)']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D050177,Overweight,"A status with BODY WEIGHT that is above certain standards. In the scale of BODY MASS INDEX, overweight is defined as having a BMI of 25.0-29.9 kg/m2. Overweight may or may not be due to increases in body fat (ADIPOSE TISSUE), hence overweight does not equal 'over fat'.","['Nutrition disorder', 'Signs and symptoms']",Signal Transduction
MESH:D010146,Pain,An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.,['Signs and symptoms'],YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D010148,"Pain, Intractable",Persistent pain that is refractory to some or all forms of treatment.,['Signs and symptoms'],Unfolded Protein Response (UPR)
MESH:D010149,"Pain, Postoperative",Pain during the period after surgery.,"['Pathology (process)', 'Signs and symptoms']",Transmembrane transport of small molecules
MESH:D010182,Pancreatic Diseases,Pathological processes of the PANCREAS.,['Digestive system disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D010190,Pancreatic Neoplasms,"Tumors or cancer of the PANCREAS. Depending on the types of ISLET CELLS present in the tumors, various hormones can be secreted: GLUCAGON from PANCREATIC ALPHA CELLS; INSULIN from PANCREATIC BETA CELLS; and SOMATOSTATIN from the SOMATOSTATIN-SECRETING CELLS. Most are malignant except the insulin-producing tumors (INSULINOMA).","['Cancer', 'Digestive system disease', 'Endocrine system disease']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D010195,Pancreatitis,"INFLAMMATION of the PANCREAS. Pancreatitis is classified as acute unless there are computed tomographic or endoscopic retrograde cholangiopancreatographic findings of CHRONIC PANCREATITIS (International Symposium on Acute Pancreatitis, Atlanta, 1992). The two most common forms of acute pancreatitis are ALCOHOLIC PANCREATITIS and gallstone pancreatitis.",['Digestive system disease'],Wnt signaling pathway
MESH:D019283,"Pancreatitis, Acute Necrotizing","A severe form of acute INFLAMMATION of the PANCREAS characterized by one or more areas of NECROSIS in the pancreas with varying degree of involvement of the surrounding tissues or organ systems. Massive pancreatic necrosis may lead to DIABETES MELLITUS, and malabsorption.",['Digestive system disease'],Signal Transduction
MESH:D019512,"Pancreatitis, Alcoholic",Acute or chronic INFLAMMATION of the PANCREAS due to excessive ALCOHOL DRINKING. Alcoholic pancreatitis usually presents as an acute episode but it is a chronic progressive disease in alcoholics.,"['Digestive system disease', 'Substance-related disorder']",Signal Transduction
MESH:D050500,"Pancreatitis, Chronic","INFLAMMATION of the PANCREAS that is characterized by recurring or persistent ABDOMINAL PAIN with or without STEATORRHEA or DIABETES MELLITUS. It is characterized by the irregular destruction of the pancreatic parenchyma which may be focal, segmental, or diffuse.","['Digestive system disease', 'Pathology (process)']",Vibrio cholerae infection
MESH:D010198,Pancytopenia,"Deficiency of all three cell elements of the blood, erythrocytes, leukocytes and platelets.",['Blood disease'],Vitamin digestion and absorption
MESH:D016584,Panic Disorder,"A type of anxiety disorder characterized by unexpected panic attacks that last minutes or, rarely, hours. Panic attacks begin with intense apprehension, fear or terror and, often, a feeling of impending doom. Symptoms experienced during a panic attack include dyspnea or sensations of being smothered; dizziness, loss of balance or faintness; choking sensations; palpitations or accelerated heart rate; shakiness; sweating; nausea or other form of abdominal distress; depersonalization or derealization; paresthesias; hot flashes or chills; chest discomfort or pain; fear of dying and fear of not being in control of oneself or going crazy. Agoraphobia may also develop. Similar to other anxiety disorders, it may be inherited as an autosomal dominant trait.",['Mental disorder'],Vesicle-mediated transport
MESH:D010212,Papilloma,"A circumscribed benign epithelial tumor projecting from the surrounding surface; more precisely, a benign epithelial neoplasm consisting of villous or arborescent outgrowths of fibrovascular stroma covered by neoplastic cells. (Stedman, 25th ed)",['Cancer'],Wnt signaling pathway
MESH:D030361,Papillomavirus Infections,Neoplasms of the skin and mucous membranes caused by papillomaviruses. They are usually benign but some have a high risk for malignant progression.,"['Pathology (process)', 'Viral disease']",Viral myocarditis
MESH:D010214,Papillon-Lefevre Disease,"Rare, autosomal recessive disorder occurring between the first and fifth years of life. It is characterized by palmoplantar keratoderma with periodontitis followed by the premature shedding of both deciduous and permanent teeth. Mutations in the gene for CATHEPSIN C have been associated with this disease.","['Genetic disease (inborn)', 'Skin disease']",Vesicle-mediated transport
MESH:D010235,Paraganglioma,"A neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion, such as the carotid body, or medulla of the adrenal gland (usually called a chromaffinoma or pheochromocytoma). It is more common in women than in men. (Stedman, 25th ed; from Segen, Dictionary of Modern Medicine, 1992)",['Cancer'],UCH proteinases
MESH:D010243,Paralysis,"A general term most often used to describe severe or complete loss of muscle strength due to motor system disease from the level of the cerebral cortex to the muscle fiber. This term may also occasionally refer to a loss of sensory function. (From Adams et al., Principles of Neurology, 6th ed, p45)","['Nervous system disease', 'Signs and symptoms']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D010257,Paraneoplastic Syndromes,In patients with neoplastic diseases a wide variety of clinical pictures which are indirect and usually remote effects produced by tumor cell metabolites or other products.,['Cancer'],Regulation of Hypoxia-inducible Factor (HIF) by oxygen
MESH:D010259,Paranoid Disorders,"Chronic mental disorders in which there has been an insidious development of a permanent and unshakeable delusional system (persecutory delusions or delusions of jealousy), accompanied by preservation of clear and orderly thinking. Emotional responses and behavior are consistent with the delusional state.",['Mental disorder'],Visual phototransduction
MESH:D010267,Parapsoriasis,"The term applied to a group of relatively uncommon inflammatory, maculopapular, scaly eruptions of unknown etiology and resistant to conventional treatment. Eruptions are both psoriatic and lichenoid in appearance, but the diseases are distinct from psoriasis, lichen planus, or other recognized dermatoses. Proposed nomenclature divides parapsoriasis into two distinct subgroups, PITYRIASIS LICHENOIDES and parapsoriasis en plaques (small- and large-plaque parapsoriasis).",['Skin disease'],Viral myocarditis
MESH:D010282,Parathyroid Neoplasms,Tumors or cancer of the PARATHYROID GLANDS.,"['Cancer', 'Endocrine system disease']",TCF dependent signaling in response to WNT
MESH:D010291,Paresis,"A general term referring to a mild to moderate degree of muscular weakness, occasionally used as a synonym for PARALYSIS (severe or complete loss of motor function). In the older literature, paresis often referred specifically to paretic neurosyphilis (see NEUROSYPHILIS). 'General paresis' and 'general paralysis' may still carry that connotation. Bilateral lower extremity paresis is referred to as PARAPARESIS.","['Nervous system disease', 'Signs and symptoms']",Transmission across Chemical Synapses
MESH:D010292,Paresthesia,"Subjective cutaneous sensations (e.g., cold, warmth, tingling, pressure, etc.) that are experienced spontaneously in the absence of stimulation.","['Nervous system disease', 'Signs and symptoms']",Vesicle-mediated transport
MESH:D010300,Parkinson Disease,"A progressive, degenerative neurologic disease characterized by a TREMOR that is maximal at rest, retropulsion (i.e. a tendency to fall backwards), rigidity, stooped posture, slowness of voluntary movements, and a masklike facial expression. Pathologic features include loss of melanin containing neurons in the substantia nigra and other pigmented nuclei of the brainstem. LEWY BODIES are present in the substantia nigra and locus coeruleus but may also be found in a related condition (LEWY BODY DISEASE, DIFFUSE) characterized by dementia in combination with varying degrees of parkinsonism. (Adams et al., Principles of Neurology, 6th ed, p1059, pp1067-75)",['Nervous system disease'],Xenobiotics
MESH:D010302,"Parkinson Disease, Secondary","Conditions which feature clinical manifestations resembling primary Parkinson disease that are caused by a known or suspected condition. Examples include parkinsonism caused by vascular injury, drugs, trauma, toxin exposure, neoplasms, infections and degenerative or hereditary conditions. Clinical features may include bradykinesia, rigidity, parkinsonian gait, and masked facies. In general, tremor is less prominent in secondary parkinsonism than in the primary form. (From Joynt, Clinical Neurology, 1998, Ch38, pp39-42)",['Nervous system disease'],VEGFR2 mediated cell proliferation
MESH:D020734,Parkinsonian Disorders,"A group of disorders which feature impaired motor control characterized by bradykinesia, MUSCLE RIGIDITY; TREMOR; and postural instability. Parkinsonian diseases are generally divided into primary parkinsonism (see PARKINSON DISEASE), secondary parkinsonism (see PARKINSON DISEASE, SECONDARY) and inherited forms. These conditions are associated with dysfunction of dopaminergic or closely related motor integration neuronal pathways in the BASAL GANGLIA.",['Nervous system disease'],XBP1(S) activates chaperone genes
MESH:D010382,Peliosis Hepatis,A vascular disease of the LIVER characterized by the occurrence of multiple blood-filled CYSTS or cavities. The cysts are lined with ENDOTHELIAL CELLS; the cavities lined with hepatic parenchymal cells (HEPATOCYTES). Peliosis hepatis has been associated with use of anabolic steroids (ANABOLIC AGENTS) and certain drugs.,"['Cardiovascular disease', 'Digestive system disease']",Thrombin signalling through proteinase activated receptors (PARs)
MESH:D010390,"Pemphigoid, Benign Mucous Membrane","A chronic blistering disease with predilection for mucous membranes and less frequently the skin, and with a tendency to scarring. It is sometimes called ocular pemphigoid because of conjunctival mucous membrane involvement.","['Eye disease', 'Skin disease']",Signal Transduction
MESH:D010391,"Pemphigoid, Bullous",A chronic and relatively benign subepidermal blistering disease usually of the elderly and without histopathologic acantholysis.,"['Immune system disease', 'Skin disease']",Unfolded Protein Response (UPR)
MESH:D010392,Pemphigus,Group of chronic blistering diseases characterized histologically by ACANTHOLYSIS and blister formation within the EPIDERMIS.,"['Immune system disease', 'Skin disease']",Viral carcinogenesis
MESH:D016506,"Pemphigus, Benign Familial","An autosomal dominantly inherited skin disorder characterized by recurrent eruptions of vesicles and BULLAE mainly on the neck, axillae, and groin. Mutations in the ATP2C1 gene (encoding the secretory pathway Ca2++/Mn2++ ATPase 1 (SPCA1)) cause this disease. It is clinically and histologically similar to DARIER DISEASE - both have abnormal, unstable DESMOSOMES between KERATINOCYTES and defective CALCIUM-TRANSPORTING ATPASES. It is unrelated to PEMPHIGUS VULGARIS though it closely resembles that disease.","['Genetic disease (inborn)', 'Skin disease']",Transmembrane transport of small molecules
MESH:D010409,Penile Diseases,Pathological processes involving the PENIS or its component tissues.,['Urogenital disease (male)'],Synthesis of PIPs at the Golgi membrane
MESH:D010411,Penile Induration,"A condition characterized by hardening of the PENIS due to the formation of fibrous plaques on the dorsolateral aspect of the PENIS, usually involving the membrane (tunica albuginea) surrounding the erectile tissue (corpus cavernosum penis). This may eventually cause a painful deformity of the shaft or constriction of the urethra, or both.","['Connective tissue disease', 'Urogenital disease (male)']",UCH proteinases
MESH:D010412,Penile Neoplasms,Cancers or tumors of the PENIS or of its component tissues.,"['Cancer', 'Urogenital disease (male)']",Wnt signaling pathway
MESH:D010437,Peptic Ulcer,Ulcer that occurs in the regions of the GASTROINTESTINAL TRACT which come into contact with GASTRIC JUICE containing PEPSIN and GASTRIC ACID. It occurs when there are defects in the MUCOSA barrier. The common forms of peptic ulcers are associated with HELICOBACTER PYLORI and the consumption of nonsteroidal anti-inflammatory drugs (NSAIDS).,['Digestive system disease'],Type I diabetes mellitus
MESH:D010438,Peptic Ulcer Hemorrhage,Bleeding from a PEPTIC ULCER that can be located in any segment of the GASTROINTESTINAL TRACT.,"['Digestive system disease', 'Pathology (process)']",Xenobiotics
MESH:D010490,Pericardial Effusion,Fluid accumulation within the PERICARDIUM. Serous effusions are associated with pericardial diseases. Hemopericardium is associated with trauma. Lipid-containing effusion (chylopericardium) results from leakage of THORACIC DUCT. Severe cases can lead to CARDIAC TAMPONADE.,['Cardiovascular disease'],VEGF signaling pathway
MESH:D010510,Periodontal Diseases,"Pathological processes involving the PERIODONTIUM including the gum (GINGIVA), the alveolar bone (ALVEOLAR PROCESS), the DENTAL CEMENTUM, and the PERIODONTAL LIGAMENT.",['Mouth disease'],Vesicle-mediated transport
MESH:D010518,Periodontitis,"Inflammation and loss of connective tissues supporting or surrounding the teeth. This may involve any part of the PERIODONTIUM. Periodontitis is currently classified by disease progression (CHRONIC PERIODONTITIS; AGGRESSIVE PERIODONTITIS) instead of age of onset. (From 1999 International Workshop for a Classification of Periodontal Diseases and Conditions, American Academy of Periodontology)",['Mouth disease'],Transcriptional misregulation in cancer
MESH:D058729,Peripheral Arterial Disease,"Lack of perfusion in the EXTREMITIES resulting from atherosclerosis. It is characterized by INTERMITTENT CLAUDICATION, and an ANKLE BRACHIAL INDEX of 0.9 or less.",['Cardiovascular disease'],TGF-beta signaling pathway
MESH:D059348,Peripheral Nerve Injuries,Injuries to the PERIPHERAL NERVES.,"['Nervous system disease', 'Wounds and injuries']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D010523,Peripheral Nervous System Diseases,"Diseases of the peripheral nerves external to the brain and spinal cord, which includes diseases of the nerve roots, ganglia, plexi, autonomic nerves, sensory nerves, and motor nerves.",['Nervous system disease'],Xenobiotics
MESH:D016491,Peripheral Vascular Diseases,Pathological processes involving any one of the BLOOD VESSELS in the vasculature outside the HEART.,['Cardiovascular disease'],Xenobiotics
MESH:D056627,Peritoneal Fibrosis,"Disorder characterized by a wide range of structural changes in PERITONEUM, resulting from fibrogenic or inflammatory processes. Peritoneal fibrosis is a common complication in patients receiving PERITONEAL DIALYSIS and contributes to its gradual decrease in efficiency.","['Digestive system disease', 'Pathology (process)']",UCH proteinases
MESH:D010538,Peritonitis,"INFLAMMATION of the PERITONEUM lining the ABDOMINAL CAVITY as the result of infectious, autoimmune, or chemical processes. Primary peritonitis is due to infection of the PERITONEAL CAVITY via hematogenous or lymphatic spread and without intra-abdominal source. Secondary peritonitis arises from the ABDOMINAL CAVITY itself through RUPTURE or ABSCESS of intra-abdominal organs.",['Digestive system disease'],Wnt signaling pathway
MESH:D018923,Persian Gulf Syndrome,"Unexplained symptoms reported by veterans of the Persian Gulf War with Iraq in 1991. The symptoms reported include fatigue, skin rash, muscle and joint pain, headaches, loss of memory, shortness of breath, gastrointestinal and respiratory symptoms, and extreme sensitivity to commonly occurring chemicals. (Nature 1994 May 5;369(6475):8)",['Occupational disease'],Synthesis of 5-eicosatetraenoic acids
MESH:D010547,Persistent Fetal Circulation Syndrome,"A syndrome of persistent PULMONARY HYPERTENSION in the newborn infant (INFANT, NEWBORN) without demonstrable HEART DISEASES. This neonatal condition can be caused by severe pulmonary vasoconstriction (reactive type), hypertrophy of pulmonary arterial muscle (hypertrophic type), or abnormally developed pulmonary arterioles (hypoplastic type). The newborn patient exhibits CYANOSIS and ACIDOSIS due to the persistence of fetal circulatory pattern of right-to-left shunting of blood through a patent ductus arteriosus (DUCTUS ARTERIOSUS, PATENT) and at times a patent foramen ovale (FORAMEN OVALE, PATENT).","['Infant-newborn disease', 'Respiratory tract disease']",Urea cycle
MESH:D010554,Personality Disorders,A major deviation from normal patterns of behavior.,['Mental disorder'],Transmission across Chemical Synapses
MESH:D010623,Phencyclidine Abuse,The misuse of phencyclidine with associated psychological symptoms and impairment in social or occupational functioning.,"['Mental disorder', 'Substance-related disorder']",Wnt signaling pathway
MESH:D010673,Pheochromocytoma,"A usually benign, well-encapsulated, lobular, vascular tumor of chromaffin tissue of the ADRENAL MEDULLA or sympathetic paraganglia. The cardinal symptom, reflecting the increased secretion of EPINEPHRINE and NOREPINEPHRINE, is HYPERTENSION, which may be persistent or intermittent. During severe attacks, there may be HEADACHE; SWEATING, palpitation, apprehension, TREMOR; PALLOR or FLUSHING of the face, NAUSEA and VOMITING, pain in the CHEST and ABDOMEN, and paresthesias of the extremities. The incidence of malignancy is as low as 5% but the pathologic distinction between benign and malignant pheochromocytomas is not clear. (Dorland, 27th ed; DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p1298)",['Cancer'],Vesicle-mediated transport
MESH:D010698,Phobic Disorders,"Anxiety disorders in which the essential feature is persistent and irrational fear of a specific object, activity, or situation that the individual feels compelled to avoid. The individual recognizes the fear as excessive or unreasonable.",['Mental disorder'],Tryptophan metabolism
